gender,index_type,age_months,sd_n3,sd_n2,sd_n1,median,sd_p1,sd_p2,sd_p3
L,PB_U,21,76.5,79.4,82.3,85.1,88.0,90.9,93.8 
L,PB_U,22,77.2,80.2,83.1,86.0,89.0,91.9,94.9 
L,PB_U,23,78.0,81.0,83.9,86.9,89.9,92.9,95.9 
L,PB_U,24,78.7,81.7,84.8,87.8,90.9,93.9,97.0

L,TB_U,24,78.0,81.0,84.1,87.1,90.2,93.2,96.3
L,TB_U,25,78.6,81.7,84.9,88.0,91.1,94.2,97.3 
L,TB_U,26,79.3,82.5,85.6,88.8,92.0,95.2,98.3 
L,TB_U,27,79.9,83.1,86.4,89.6,92.9,96.1,99.3 
L,TB_U,28,80.5,83.8,87.1,90.4,93.7,97.0,100.3 
L,TB_U,29,81.1,84.5,87.8,91.2,94.5,97.9,101.2 
L,TB_U,30,81.7,85.1,88.5,91.9,95.3,98.7,102.1 
L,TB_U,31,82.3,85.7,89.2,92.7,96.1,99.6,103.0 
L,TB_U,32,82.8,86.4,89.9,93.4,96.9,100.4,103.9 
L,TB_U,33,83.4,86.9,90.5,94.1,97.6,101.2,104.8 
L,TB_U,34,83.9,87.5,91.1,94.8,98.4,102.0,105.6 
L,TB_U,35,84.4,88.1,91.8,95.4,99.1,102.7,106.4 
L,TB_U,36,85.0,88.7,92.4,96.1,99.8,103.5,107.2 
L,TB_U,37,85.5,89.2,93.0,96.7,100.5,104.2,108.0 
L,TB_U,38,86.0,89.8,93.6,97.4,101.2,105.0,108.8 
L,TB_U,39,86.5,90.3,94.2,98.0,101.8,105.7,109.5 
L,TB_U,40,87.0,90.9,94.7,98.6,102.5,106.4,110.3 
L,TB_U,41,87.5,91.4,95.3,99.2,103.2,107.1,111.0 
L,TB_U,42,88.0,91.9,95.9,99.9,103.8,107.8,111.7 
L,TB_U,43,88.4,92.4,96.4,100.4,104.5,108.5,112.5 
L,TB_U,44,88.9,93.0,97.0,101.0,105.1,109.1,113.2 
L,TB_U,45,89.4,93.5,97.5,101.6,105.7,109.8,113.9 
L,TB_U,46,89.8,94.0,98.1,102.2,106.3,110.4,114.6 
L,TB_U,47,90.3,94.4,98.6,102.8,106.9,111.1,115.2 
L,TB_U,48,90.7,94.9,99.1,103.3,107.5,111.7,115.9 
L,TB_U,49,91.2,95.4,99.7,103.9,108.1,112.4,116.6 
L,TB_U,50,91.6,95.9,100.2,104.4,108.7,113.0,117.3 
L,TB_U,51,92.1,96.4,100.7,105.0,109.3,113.6,117.9 
L,TB_U,52,92.5,96.9,101.2,105.6,109.9,114.2,118.6 
L,TB_U,53,93.0,97.4,101.7,106.1,110.5,114.9,119.2 
L,TB_U,54,93.4,97.8,102.3,106.7,111.1,115.5,119.9 
L,TB_U,55,93.9,98.3,102.8,107.2,111.7,116.1,120.6 
L,TB_U,56,94.3,98.8,103.3,107.8,112.3,116.7,121.2 
L,TB_U,57,94.7,99.3,103.8,108.3,112.8,117.4,121.9 
L,TB_U,58,95.2,99.7,104.3,108.9,113.4,118.0,122.6 
L,TB_U,59,95.6,100.2,104.8,109.4,114.0,118.6,123.2 
L,TB_U,60,96.1,100.7,105.3,110.0,114.6,119.2,123.9 

L,IMT_U,0,10.2,11.1,12.2,13.4,14.8,16.3,18.1
L,IMT_U,1,11.3,12.4,13.6,14.9,16.3,17.8,19.4 
L,IMT_U,2,12.5,13.7,15.0,16.3,17.8,19.4,21.1 
L,IMT_U,3,13.1,14.3,15.5,16.9,18.4,20.0,21.8 
L,IMT_U,4,13.4,14.5,15.8,17.2,18.7,20.3,22.1 
L,IMT_U,5,13.5,14.7,15.9,17.3,18.8,20.5,22.3 
L,IMT_U,6,13.6,14.7,16.0,17.3,18.8,20.5,22.3 
L,IMT_U,7,13.7,14.8,16.0,17.3,18.8,20.5,22.3 
L,IMT_U,8,13.6,14.7,15.9,17.3,18.7,20.4,22.2 
L,IMT_U,9,13.6,14.7,15.8,17.2,18.6,20.3,22.1 
L,IMT_U,10,13.5,14.6,15.7,17.0,18.5,20.1,22.0 
L,IMT_U,11,13.4,14.5,15.6,16.9,18.4,20.0,21.8 
L,IMT_U,12,13.4,14.4,15.5,16.8,18.2,19.8,21.6 
L,IMT_U,13,13.3,14.3,15.4,16.7,18.1,19.7,21.5 
L,IMT_U,14,13.2,14.2,15.3,16.6,18.0,19.5,21.3 
L,IMT_U,15,13.1,14.1,15.2,16.4,17.8,19.4,21.2 
L,IMT_U,16,13.1,14.0,15.1,16.3,17.7,19.3,21.0 
L,IMT_U,17,13.0,13.9,15.0,16.2,17.6,19.1,20.9 
L,IMT_U,18,12.9,13.9,14.9,16.1,17.5,19.0,20.8 
L,IMT_U,19,12.9,13.8,14.9,16.1,17.4,18.9,20.7 
L,IMT_U,20,12.8,13.7,14.8,16.0,17.3,18.8,20.6 
L,IMT_U,21,12.8,13.7,14.7,15.9,17.2,18.7,20.5 
L,IMT_U,22,12.7,13.6,14.7,15.8,17.2,18.7,20.4 
L,IMT_U,23,12.7,13.6,14.6,15.8,17.1,18.6,20.3 
L,IMT_U,24,12.7,13.6,14.6,15.7,17.0,18.5,20.3
L,IMT_U,25,12.9,13.8,14.8,16.0,17.3,18.9,20.6 
L,IMT_U,26,12.8,13.8,14.8,16.0,17.3,18.8,20.5 
L,IMT_U,27,12.7,13.7,14.7,15.9,17.2,18.7,20.4 
L,IMT_U,28,12.7,13.6,14.7,15.9,17.2,18.7,20.4 
L,IMT_U,29,12.7,13.6,14.7,15.8,17.1,18.6,20.3 
L,IMT_U,30,12.6,13.6,14.6,15.8,17.1,18.6,20.2 
L,IMT_U,31,12.6,13.5,14.6,15.8,17.1,18.5,20.2 
L,IMT_U,32,12.5,13.5,14.6,15.7,17.0,18.5,20.1 
L,IMT_U,33,12.5,13.5,14.5,15.7,17.0,18.5,20.1 
L,IMT_U,34,12.5,13.4,14.5,15.7,17.0,18.4,20.0 
L,IMT_U,35,12.4,13.4,14.5,15.6,16.9,18.4,20.0 
L,IMT_U,36,12.4,13.4,14.4,15.6,16.9,18.4,20.0 
L,IMT_U,37,12.4,13.3,14.4,15.6,16.9,18.3,19.9 
L,IMT_U,38,12.3,13.3,14.4,15.5,16.8,18.3,19.9 
L,IMT_U,39,12.3,13.3,14.3,15.5,16.8,18.3,19.9 
L,IMT_U,40,12.3,13.2,14.3,15.5,16.8,18.2,19.9 
L,IMT_U,41,12.2,13.2,14.3,15.5,16.8,18.2,19.9 
L,IMT_U,42,12.2,13.2,14.3,15.4,16.8,18.2,19.8 
L,IMT_U,43,12.2,13.2,14.2,15.4,16.7,18.2,19.8 
L,IMT_U,44,12.2,13.1,14.2,15.4,16.7,18.2,19.8 
L,IMT_U,45,12.1,13.1,14.2,15.4,16.7,18.2,19.8 
L,IMT_U,46,12.1,13.1,14.2,15.3,16.7,18.2,19.9 
L,IMT_U,47,12.1,13.1,14.1,15.3,16.7,18.2,19.9 
L,IMT_U,48,12.1,13.0,14.1,15.3,16.7,18.2,19.9 
L,IMT_U,49,12.1,13.0,14.1,15.3,16.7,18.2,19.9 
L,IMT_U,50,12.1,13.0,14.1,15.3,16.7,18.2,19.9 
L,IMT_U,51,12.1,13.0,14.1,15.3,16.6,18.2,19.9 
L,IMT_U,52,12.0,13.0,14.1,15.3,16.6,18.2,19.9 
L,IMT_U,53,12.0,13.0,14.1,15.3,16.6,18.2,20.0 
L,IMT_U,54,12.0,13.0,14.0,15.3,16.6,18.2,20.0
L,IMT_U,55,12.0,13.0,14.0,15.2,16.6,18.2,20.0 
L,IMT_U,56,12.0,12.9,14.0,15.2,16.6,18.2,20.1 
L,IMT_U,57,12.0,12.9,14.0,15.2,16.6,18.2,20.1 
L,IMT_U,58,12.0,12.9,14.0,15.2,16.6,18.3,20.2 
L,IMT_U,59,12.0,12.9,14.0,15.2,16.6,18.3,20.2 
L,IMT_U,60,12.0,12.9,14.0,15.2,16.6,18.3,20.3 

P,BB_U,0,2.0,2.4,2.8,3.2,3.7,4.2,4.8
P,BB_U,1,2.7,3.2,3.6,4.2,4.8,5.5,6.2 
P,BB_U,2,3.4,3.9,4.5,5.1,5.8,6.6,7.5 
P,BB_U,3,4.0,4.5,5.2,5.8,6.6,7.5,8.5 
P,BB_U,4,4.4,5.0,5.7,6.4,7.3,8.2,9.3 
P,BB_U,5,4.8,5.4,6.1,6.9,7.8,8.8,10.0 
P,BB_U,6,5.1,5.7,6.5,7.3,8.2,9.3,10.6 
P,BB_U,7,5.3,6.0,6.8,7.6,8.6,9.8,11.1 
